,name,titles,gross_max,gross_min,gross_mean,rating_max,rating_min,rating_mean
12,Jaume Balagueró,"REC, The Vault, Sleep Tight, Venus",32511655.0,725927.0,12708259.0,74.0,55.0,66.25
13,John Schultz,"Drive Me Crazy, Like Mike, A Christmas Prince: The Royal Wedding, Aliens in the Attic, A Christmas Prince: The Royal Baby",62274780.0,22593409.0,47583081.666666664,58.0,53.0,54.6
14,Imtiaz Ali,"Rockstar, Tamasha",15159762.0,11219667.0,13189714.5,77.0,73.0,75.0
15,Jim O'Hanlon,"Your Christmas or Mine?, Your Christmas or Mine 2",,,,64.0,64.0,64.0
16,J.M Cravioto,A Deadly Invitation,,,,51.0,51.0,51.0
17,Lilly Wachowski,"The Matrix Reloaded, Cloud Atlas, The Matrix, Bound, The Matrix Revolutions, Jupiter Ascending, Speed Racer",741847937.0,3802260.0,292709594.71428573,87.0,53.0,69.57142857142857
18,Nicolas Harvard,The Locksmith,68190.0,68190.0,68190.0,48.0,48.0,48.0
19,Reid Carolin,Dog,84774243.0,84774243.0,84774243.0,65.0,65.0,65.0
20,William Malone,House on Haunted Hill,42593455.0,42593455.0,42593455.0,56.0,56.0,56.0
21,Joey De Guzman,Day Zero,40938.0,40938.0,40938.0,51.0,51.0,51.0
22,Nathan Frankowski,The Devil Conspiracy,984341.0,984341.0,984341.0,45.0,45.0,45.0
23,Elijah Bynum,"Hot Summer Nights, Magazine Dreams",246133.0,246133.0,246133.0,68.0,64.0,66.0
24,Anna Biller,The Love Witch,252262.0,252262.0,252262.0,62.0,62.0,62.0
25,Elem Klimov,Come and See,20929648.0,20929648.0,20929648.0,84.0,84.0,84.0
26,Don Siegel,"Dirty Harry, Escape from Alcatraz, Invasion of the Body Snatchers, The Beguiled, Coogan's Bluff, The Shootist, Two Mules for Sister Sara",43005351.0,2522.0,13765906.714285715,77.0,64.0,73.14285714285714
27,Krystin Ver Linden,Alice,373043.0,373043.0,373043.0,56.0,56.0,56.0
28,James Gunn,"Superman: Legacy, Guardians of the Galaxy Vol. 3, Guardians of the Galaxy Vol. 2, Slither, The Suicide Squad, Guardians of the Galaxy, Super",863756051.0,422618.0,444106159.0,80.0,65.0,73.16666666666667
29,Gina Prince-Bythewood,"The Woman King, The Old Guard, Love & Basketball, The Secret Life of Bees",93279806.0,27743596.0,53658613.0,72.0,67.0,70.0
30,Stanley Donen,"Singin' in the Rain, Charade, Seven Brides for Seven Brothers, Blame It on Rio, Funny Face, Saturn 3, Bedazzled",18644570.0,13672.0,5966317.4,83.0,51.0,68.85714285714286
31,Alex Ranarivelo,"I Believe in Santa, A Christmas Mystery",,,,59.0,45.0,52.0
32,Bharat Nalluri,"The Man Who Invented Christmas, MI-5, Miss Pettigrew Lives for a Day",16724933.0,5161464.0,10004489.0,70.0,62.0,67.33333333333333
33,Joachim Rønning,"Maleficent: Mistress of Evil, Tron: Ares, Kon-Tiki",491730089.0,22842887.0,257286488.0,71.0,66.0,68.5
34,Mary Harron,"American Psycho, Daliland, The Notorious Bettie Page",34266564.0,498165.0,12180911.666666666,76.0,59.0,66.66666666666667
35,Apichatpong Weerasethakul,Memoria,588713.0,588713.0,588713.0,65.0,65.0,65.0
36,Woo-Ping Yuen,"Drunken Master, Crouching Tiger, Hidden Dragon: Sword of Destiny",38659039.0,38659039.0,38659039.0,74.0,61.0,67.5
37,Anil Ravipudi,Bhagavanth Kesari,88320.0,88320.0,88320.0,66.0,66.0,66.0
38,Thomas Doran,Spookies,17785.0,17785.0,17785.0,49.0,49.0,49.0
39,Robert Budreau,Queen of Bones,,,,79.0,79.0,79.0
40,Alessandro Carloni,Kung Fu Panda 3,521170825.0,521170825.0,521170825.0,71.0,71.0,71.0
41,Dax Shepard,CHIPS,26800152.0,26800152.0,26800152.0,60.0,60.0,60.0
42,A.V. Rockwell,A Thousand and One,3463680.0,3463680.0,3463680.0,70.0,70.0,70.0
43,Jacques Tourneur,"Out of the Past, They All Come Out, Cat People",,,,80.0,60.0,70.66666666666667
44,Hyeon-jin Park,Love and Leashes,,,,63.0,63.0,63.0
45,Dick Maas,Amsterdamned,98003.0,98003.0,98003.0,66.0,66.0,66.0
46,Matt Angel,"The Wrath of Becky, Hypnotic",202110.0,202110.0,202110.0,61.0,53.0,57.0
47,John McTiernan,"The Hunt for Red October, Die Hard, Die Hard with a Vengeance, Last Action Hero, The 13th Warrior, The Thomas Crown Affair, Basic, Predator, Rollerball",366101666.0,25852764.0,133159317.55555555,82.0,31.0,67.22222222222223
48,Ol Parker,"Mamma Mia! Here We Go Again, Ticket to Paradise, Imagine Me & You",402264843.0,2635305.0,191222681.33333334,67.0,61.0,64.66666666666667
49,Jorge R. Gutiérrez,The Book of Life,99783556.0,99783556.0,99783556.0,72.0,72.0,72.0
50,Sujoy Ghosh,"Jaane Jaan, Lust Stories 2",,,,70.0,65.0,67.5
51,Daniel Benmayor,Awareness,,,,53.0,53.0,53.0
52,Gavin Hood,"X-Men Origins: Wolverine, Ender's Game, Official Secrets, Eye in the Sky",373062864.0,10088753.0,135988823.5,73.0,65.0,69.25
53,Matthew Bright,"Freeway, Tiptoes",295493.0,295493.0,295493.0,68.0,42.0,55.0
54,Sharon Maguire,"Bridget Jones's Diary, Godmothered, Bridget Jones's Baby",334272563.0,211952420.0,273112491.5,68.0,61.0,64.66666666666667
55,Jesús del Cerro,Miami Bici 2,1162900.0,1162900.0,1162900.0,51.0,51.0,51.0
56,Ernst Lubitsch,"The Shop Around the Corner, The Student Prince in Old Heidelberg, To Be or Not to Be",4578000.0,36368.0,2307184.0,82.0,76.0,79.33333333333333
57,Chloé Zhao,"Nomadland, Eternals",402064899.0,39458207.0,220761553.0,73.0,63.0,68.0
58,Joshua Enck,I Heard the Bells,5679267.0,5679267.0,5679267.0,72.0,72.0,72.0
59,Randall Okita,See for Me,725952.0,725952.0,725952.0,58.0,58.0,58.0
60,Hansal Mehta,The Buckingham Murders,,,,76.0,76.0,76.0
61,Leo McCarey,"An Affair to Remember, Going My Way, The Bells of St. Mary's, Duck Soup",21337978.0,2221.0,6323922.0,78.0,70.0,73.5
62,Sam Weisman,"George of the Jungle, D2: The Mighty Ducks",174463257.0,45610410.0,110036833.5,61.0,55.0,58.0
63,Roger Ross Williams,"Stamped from the Beginning, Cassandro",,,,65.0,63.0,64.0
64,John Kahrs,Over the Moon,,,,63.0,63.0,63.0
65,Audrey Wells,Under the Tuscan Sun,58878723.0,58878723.0,58878723.0,67.0,67.0,67.0
66,Anjelica Huston,Bastard Out of Carolina,,,,73.0,73.0,73.0
67,Shin'ichirô Ushijima,I Want to Eat Your Pancreas,33748006.0,33748006.0,33748006.0,80.0,80.0,80.0
68,Janeen Damian,"Falling for Christmas, Irish Wish",,,,52.0,52.0,52.0
69,Stuart Baird,"Executive Decision, U.S. Marshals, Star Trek: Nemesis",121969216.0,67336470.0,97224363.66666667,66.0,64.0,65.0
70,Patrick Delage,Despicable Me 4,,,,,,
71,Patrick Lussier,"Drive Angry, Dracula 2000, My Bloody Valentine, Play Dead",100734718.0,391361.0,47272403.25,54.0,49.0,52.25
72,John N. Smith,Dangerous Minds,179519401.0,179519401.0,179519401.0,65.0,65.0,65.0
73,Nick Lieberman,Theater Camp,4405603.0,4405603.0,4405603.0,70.0,70.0,70.0
74,Kore-eda Hirokazu,"Shoplifters, Broker, Nobody Knows, Monster",67999335.0,1402006.0,22627795.75,81.0,71.0,77.75
75,Gordon Parks,Shaft,,,,66.0,66.0,66.0
76,Jack Hale,The Terror,,,,50.0,50.0,50.0
77,Jd Allen,Algea: God of Pain,,,,100.0,100.0,100.0
78,Frédéric Auburtin,"Paris, je t'aime",17471727.0,17471727.0,17471727.0,72.0,72.0,72.0
79,Andrew V. McLaglen,"Chisum, McLintock!, The Wild Geese, The Devil's Brigade",,,,71.0,67.0,68.5
80,Miri Navasky,Joan Baez I Am a Noise,640515.0,640515.0,640515.0,70.0,70.0,70.0
81,Sam Macaroni,Blackout,,,,38.0,38.0,38.0
82,Gerard Johnstone,M3GAN,179973454.0,179973454.0,179973454.0,64.0,64.0,64.0
83,Miguel Sapochnik,"Finch, Repo Men",18409891.0,18409891.0,18409891.0,69.0,63.0,66.0
84,David Winters,Thrashin',,,,65.0,65.0,65.0
85,Charles Walters,"Gigi, High Society",,,,69.0,66.0,67.5
86,Pier Giuseppe Murgia,Maladolescenza,,,,56.0,56.0,56.0
87,Courtney Hunt,The Whole Truth,1667849.0,1667849.0,1667849.0,62.0,62.0,62.0
88,Ángel Gómez Hernández,Don't Listen,443458.0,443458.0,443458.0,61.0,61.0,61.0
89,Ayan Mukerji,"Yeh Jawaani Hai Deewani, Brahmastra Part One: Shiva",50164785.0,30991781.0,40578283.0,72.0,56.0,64.0
90,Joe Berlinger,"Extremely Wicked, Shockingly Evil and Vile",9816572.0,9816572.0,9816572.0,67.0,67.0,67.0
91,Pat O'Connor,"Sweet November, Inventing the Abbotts, The January Man",65754228.0,4611062.0,25433878.0,67.0,55.0,62.0
92,Charlie Day,Fool's Paradise,878320.0,878320.0,878320.0,47.0,47.0,47.0
93,Lamont Johnson,Cattle Annie and Little Britches,534816.0,534816.0,534816.0,61.0,61.0,61.0
94,Estibaliz Urresola Solaguren,"20,000 Species of Bees",999193.0,999193.0,999193.0,68.0,68.0,68.0
95,Emerald Fennell,"Saltburn, Promising Young Woman",18854166.0,7545932.0,13200049.0,75.0,75.0,75.0
96,Robert Z. Leonard,Strange Interlude,,,,56.0,56.0,56.0
97,Jayson Thiessen,My Little Pony: The Movie,60330833.0,60330833.0,60330833.0,61.0,61.0,61.0
98,Sean Durkin,"The Iron Claw, The Nest, Martha Marcy May Marlene",4778439.0,2122682.0,3450560.5,68.0,63.0,65.5
99,Peter Segal,"The Longest Yard, 50 First Dates, Get Smart, Tommy Boy, Anger Management, Naked Gun 33 1/3: The Final Insult, My Spy, Nutty Professor II: The Klumps, Grudge Match",230685453.0,10200000.0,124630934.77777778,71.0,45.0,63.0
100,Stephen Shimek,Invitation to a Murder,,,,51.0,51.0,51.0
101,Yasushi Kawamura,Gantz: O,2359127.0,2359127.0,2359127.0,71.0,71.0,71.0
102,Hans Canosa,The Storied Life of A.J. Fikry,121000.0,121000.0,121000.0,65.0,65.0,65.0
103,Stephen Moyer,A Bit of Light,,,,62.0,62.0,62.0
104,Peter Hall,A Midsummer Night's Dream,,,,65.0,65.0,65.0
105,Barbara Topsøe-Rothenborg,Loving Adults,,,,65.0,65.0,65.0
106,Christopher Fox,Rub,,,,54.0,54.0,54.0
107,Sofia Alvarez,Along for the Ride,,,,61.0,61.0,61.0
108,Stephen Kessler,Vegas Vacation,36400360.0,36400360.0,36400360.0,59.0,59.0,59.0
109,Robert Mulligan,"To Kill a Mockingbird, The Man in the Moon, Summer of '42",2853801.0,599146.0,1726473.5,83.0,72.0,76.0
110,Laxman Utekar,Zara Hatke Zara Bachke,741398.0,741398.0,741398.0,65.0,65.0,65.0
111,Joel Souza,Rust,,,,,,
112,Don Sharp,To the Devil a Daughter,,,,58.0,58.0,58.0
113,Jenna Laurenzo,Lez Bomb,,,,52.0,52.0,52.0
114,Valerie Faris,"Little Miss Sunshine, Battle of the Sexes, Ruby Sparks",101058954.0,9368803.0,43008788.0,78.0,67.0,72.33333333333333
115,Joseph Zito,"Friday the 13th: The Final Chapter, The Prowler",32980880.0,32980880.0,32980880.0,60.0,59.0,59.5
116,Sukumar,Pushpa: The Rise - Part 1,7592374.0,7592374.0,7592374.0,76.0,76.0,76.0
117,Terry Zwigoff,"Bad Santa, Ghost World",76490720.0,8764389.0,42627554.5,73.0,71.0,72.0
118,Richard Schenkman,"The Man from Earth, I Spit on Your Grave: Vengeance Is Mine",144661.0,144661.0,144661.0,78.0,51.0,64.5
119,Rene Eller,Wij,,,,56.0,56.0,56.0
120,Lee Tamahori,"Die Another Day, Along Came a Spider, The Edge, The Convert, Next, Mulholland Falls, Once Were Warriors, The Devil's Double",431971116.0,1608570.0,96706690.85714285,80.0,61.0,68.625
121,Dean Parisot,"Galaxy Quest, RED 2, Bill & Ted Face the Music, Fun with Dick and Jane",204681899.0,6274027.0,112428851.75,74.0,59.0,65.25
122,Charles Guard,"Dead Shot, The Uninvited",41633384.0,4253.0,20818818.5,63.0,54.0,58.5
123,Patricia Birch,Grease 2,15171476.0,15171476.0,15171476.0,45.0,45.0,45.0
124,Sara Zandieh,The Other Zoey,168099.0,168099.0,168099.0,58.0,58.0,58.0
125,Walter Salles,"On the Road, Dark Water, The Motorcycle Diaries",68357079.0,9617377.0,45212722.333333336,77.0,56.0,64.33333333333333
126,Lee Sang-yong,"The Roundup, The Roundup: No Way Out",101166707.0,83410298.0,92288502.5,70.0,66.0,68.0
127,William Peter Blatty,"The Exorcist III, The Ninth Configuration",39024251.0,39024251.0,39024251.0,68.0,65.0,66.5
128,Lynne Littman,Testament,2044892.0,2044892.0,2044892.0,69.0,69.0,69.0
129,Sigi Rothemund,Julia,,,,47.0,47.0,47.0
130,Darren Le Gallo,Sam & Kate,,,,62.0,62.0,62.0
131,Luke Korem,Milli Vanilli,,,,75.0,75.0,75.0
132,Indar Dzhendubaev,I Am Dragon,10495305.0,10495305.0,10495305.0,68.0,68.0,68.0
133,Nicholas Ray,"Macao, Rebel Without a Cause, In a Lonely Place",213014.0,3530.0,79345.66666666667,79.0,66.0,73.66666666666667
134,Josephine Decker,Shirley,275863.0,275863.0,275863.0,61.0,61.0,61.0
135,José Ramón Larraz,Los ritos sexuales del diablo,,,,48.0,48.0,48.0
136,Ken Loach,"The Wind that Shakes the Barley, The Old Oak, I, Daniel Blake, Sorry We Missed You, Kes",22903165.0,62422.0,10439048.8,79.0,71.0,75.8
137,Nicole Conn,"Elena Undone, A Perfect Ending",,,,61.0,56.0,58.5
138,Josh Janowicz,Life Like,,,,54.0,54.0,54.0
139,Gary Shore,"Haunting of the Queen Mary, Dracula Untold",217124280.0,1350972.0,109237626.0,62.0,42.0,52.0
140,Amy Koppelman,A Mouthful of Air,269435.0,269435.0,269435.0,61.0,61.0,61.0
141,Justin G. Dyck,Anything for Jackson,496008.0,496008.0,496008.0,63.0,63.0,63.0
142,Anthony Hines,Robots,203871.0,203871.0,203871.0,55.0,55.0,55.0
143,Ralph Fiennes,Coriolanus,2435325.0,2435325.0,2435325.0,61.0,61.0,61.0
144,Yoshifumi Kondô,Whisper of the Heart,4419400.0,4419400.0,4419400.0,78.0,78.0,78.0
145,Hitoshi Matsumoto,Symbol,5033714.0,5033714.0,5033714.0,69.0,69.0,69.0
146,Alex Kurtzman,The Mummy,409231607.0,409231607.0,409231607.0,54.0,54.0,54.0
147,John Grissmer,Blood Rage,,,,58.0,58.0,58.0
148,Romuald Boulanger,On the Line,112081.0,112081.0,112081.0,54.0,54.0,54.0
149,Javier Ruiz Caldera,Ghost Graduation,2602489.0,2602489.0,2602489.0,63.0,63.0,63.0
150,David Ryan Keith,I Am Rage,,,,52.0,52.0,52.0
151,Casey Affleck,"I'm Still Here, Light of My Life",1392898.0,626396.0,1009647.0,66.0,62.0,64.0
152,Adam Schindler,Intruders,,,,57.0,57.0,57.0
153,Jonathan Straiton,Johnny Z,,,,44.0,44.0,44.0
154,Peter Thorwarth,"Blood & Gold, Blood Red Sky",401834.0,401834.0,401834.0,65.0,61.0,63.0
155,Nico van den Brink,Moloch,558917.0,558917.0,558917.0,60.0,60.0,60.0
156,Aaron Kaufman,Superpower,,,,57.0,57.0,57.0
157,James Ponsoldt,"The Circle, The Spectacular Now",40656399.0,6918591.0,23787495.0,70.0,53.0,61.5
158,Brian Klugman,The Words,15950164.0,15950164.0,15950164.0,70.0,70.0,70.0
159,Marc Rocco,Dream a Little Dream,5552441.0,5552441.0,5552441.0,57.0,57.0,57.0
160,Charles Band,"AIMEE: The Visitor, Gingerdead Man vs Evil Bong, Doctor Mordrid, The Gingerdead Man",,,,54.0,34.0,42.75
161,Bertie Ellwood,Troop Zero,,,,69.0,69.0,69.0
162,Sacha Polak,Hemel,,,,56.0,56.0,56.0
163,M.J. Bassett,"Silent Hill: Revelation, Solomon Kane, Rogue",55362705.0,242884.0,25085924.666666668,61.0,42.0,50.666666666666664
164,Julie Anne Robinson,"The Last Song, One for the Money",89137047.0,38084162.0,63610604.5,60.0,53.0,56.5
165,Peter Billingsley,Couples Retreat,171844840.0,171844840.0,171844840.0,55.0,55.0,55.0
166,Colin Kennedy,Swung,,,,47.0,47.0,47.0
167,Jeremy Warner,Go West,340017.0,340017.0,340017.0,66.0,66.0,66.0
168,Numa Perrier,The Perfect Find,,,,52.0,52.0,52.0
169,Tae-hwa Eom,Concrete Utopia,28859372.0,28859372.0,28859372.0,67.0,67.0,67.0
170,Srinivas Omkar,My Name Is Shruthi,,,,88.0,88.0,88.0
171,Anthony Stacchi,"The Monkey King, Open Season, The Boxtrolls",200811689.0,108255770.0,154533729.5,68.0,57.0,62.0
172,Michael Schultz,"The Last Dragon, Car Wash, Sgt. Pepper's Lonely Hearts Club Band",25755033.0,20378470.0,23066751.5,68.0,42.0,57.333333333333336
173,Luca Guadagnino,"Bones and All, Challengers, Call Me by Your Name, I Am Love, A Bigger Splash, Suspiria, Queer",43143046.0,7545758.0,17116211.2,78.0,64.0,69.4
174,Destin Daniel Cretton,"Short Term 12, The Glass Castle, Just Mercy, Shang-Chi and the Legend of the Ten Rings",432243292.0,1645164.0,126719622.75,79.0,71.0,75.0
175,Mark Christopher,54,16757163.0,16757163.0,16757163.0,59.0,59.0,59.0
176,Rubin Stein,Tin & Tina,112450.0,112450.0,112450.0,47.0,47.0,47.0
177,Mike Gabriel,"Pocahontas, The Rescuers Down Under",346079773.0,27931461.0,187005617.0,68.0,67.0,67.5
178,Spencer Brown,T.I.M.,6176.0,6176.0,6176.0,55.0,55.0,55.0
179,Rose Glass,Saint Maud,1383868.0,1383868.0,1383868.0,67.0,67.0,67.0
180,Kar-Wai Wong,"In the Mood for Love, Fallen Angels, Chungking Express, 2046, Happy Together, My Blueberry Nights, Days of Being Wild",22007671.0,251164.0,8938364.142857144,81.0,66.0,75.42857142857143
181,T. Hee,Pinocchio,121892045.0,121892045.0,121892045.0,75.0,75.0,75.0
182,Stuart Hazeldine,"Exam, The Shack",96942115.0,394717.0,48668416.0,68.0,63.0,65.5
183,Esteban Crespo,Amar,,,,51.0,51.0,51.0
184,Giuseppe Capotondi,The Burnt Orange Heresy,711691.0,711691.0,711691.0,61.0,61.0,61.0
185,Jay Roach,"Austin Powers: International Man of Mystery, Austin Powers: The Spy Who Shagged Me, Meet the Parents, Bombshell, Meet the Fockers, Austin Powers in Goldmember, The Campaign, Dinner for Schmucks, Mystery, Alaska, Trumbo, Untitled Margot Robbie Ocean's Eleven Film",522657936.0,8891623.0,180494335.1,74.0,59.0,66.0
186,Jonathan English,Ironclad,5151023.0,5151023.0,5151023.0,61.0,61.0,61.0
187,Sacha Gervasi,Hitchcock,27039669.0,27039669.0,27039669.0,68.0,68.0,68.0
188,Moo-Hyun Jang,Red Shoes and the Seven Dwarfs,10262635.0,10262635.0,10262635.0,64.0,64.0,64.0
189,Lina Roessler,Best Sellers,336174.0,336174.0,336174.0,62.0,62.0,62.0
190,Tay Garnett,The Postman Always Rings Twice,,,,74.0,74.0,74.0
191,Jeffrey Bloom,Flowers in the Attic,15151736.0,15151736.0,15151736.0,57.0,57.0,57.0
192,Jon Hurwitz,"American Reunion, Harold & Kumar Escape from Guantanamo Bay",234989584.0,43495888.0,139242736.0,67.0,65.0,66.0
193,Derek Drymon,Hotel Transylvania 4: Transformania,,,,60.0,60.0,60.0
194,Scott Z. Burns,The Report,232305.0,232305.0,232305.0,72.0,72.0,72.0
195,Danny Madden,15 Cameras,,,,51.0,51.0,51.0
196,Andrew Ahn,Fire Island,,,,67.0,67.0,67.0
197,Giuseppe Fiorello,Fireworks,1349188.0,1349188.0,1349188.0,74.0,74.0,74.0
198,Swinton O. Scott III,Diary of a Wimpy Kid,,,,51.0,51.0,51.0
199,James Hawes,"One Life, The Amateur",,,,75.0,75.0,75.0
200,Tig Notaro,Am I OK?,,,,68.0,68.0,68.0
201,Gus Meins,March of the Wooden Soldiers,,,,71.0,71.0,71.0
202,Chen-Hao Yin,Man in Love,52946097.0,52946097.0,52946097.0,70.0,70.0,70.0
203,David Kellogg,"Inspector Gadget, Cool as Ice",134403112.0,1193062.0,67798087.0,42.0,29.0,35.5
204,Michael Armstrong,Mark of the Devil,,,,61.0,61.0,61.0
205,Benny Chan,Who Am I?,,,,68.0,68.0,68.0
206,Zeno Graton,The Lost Boys,12751.0,12751.0,12751.0,69.0,69.0,69.0
207,Toshiya Fujita,Lady Snowblood,,,,76.0,76.0,76.0
208,Tip 'T.I.' Harris,Da 'Partments,,,,92.0,92.0,92.0
209,Mel Gibson,"The Passion of the Christ, Lethal Weapon 5, Braveheart, The Passion of the Christ: Resurrection - Part I, Hacksaw Ridge, Apocalypto",612054506.0,120673227.0,281626896.25,83.0,72.0,78.5
210,Tom McCarthy,"Spotlight, Stillwater, The Cobbler, The Station Agent",98690254.0,6501058.0,33411730.25,81.0,58.0,70.25
211,Scott Ryan,The Magician,18624.0,18624.0,18624.0,66.0,66.0,66.0
212,Savvas D. Michael,Hitmen,,,,52.0,52.0,52.0
213,Desiree Akhavan,The Miseducation of Cameron Post,1474577.0,1474577.0,1474577.0,66.0,66.0,66.0
214,Aaron Horvath,The Super Mario Bros. Movie,1361976691.0,1361976691.0,1361976691.0,71.0,71.0,71.0
215,Julie R. Ølgaard,Englemageren,77350.0,77350.0,77350.0,52.0,52.0,52.0
216,Robert Hayes,Phoenix the Warrior,,,,37.0,37.0,37.0
217,Mike Leigh,"Naked, Secrets & Lies",13417292.0,1797195.0,7607243.5,80.0,77.0,78.5
218,F.W. Murnau,"Nosferatu, Sunrise",121107.0,19054.0,70080.5,81.0,79.0,80.0
219,Zach Braff,"A Good Person, Going in Style, Garden State",85218541.0,2688568.0,41244141.666666664,74.0,66.0,70.0
220,Shea Sizemore,County Line,,,,60.0,60.0,60.0
221,Byron Haskin,"The War of the Worlds, Too Late for Tears",,,,73.0,70.0,71.5
222,Scott Aukerman,Between Two Ferns: The Movie,,,,61.0,61.0,61.0
223,Peggy Holmes,Luck,,,,64.0,64.0,64.0
224,Anders Hazelius,Forever,,,,62.0,62.0,62.0
225,Noam Murro,300: Rise of an Empire,337580051.0,337580051.0,337580051.0,62.0,62.0,62.0
226,Anthony Hemingway,Red Tails,50365498.0,50365498.0,50365498.0,59.0,59.0,59.0
227,Everardo Gout,The Forever Purge,76994245.0,76994245.0,76994245.0,54.0,54.0,54.0
228,Eva Husson,"Bang Gang: A Modern Love Story, Mothering Sunday",2260859.0,136891.0,1198875.0,60.0,55.0,57.5
229,Barbet Schroeder,"Single White Female, Murder by Numbers, Reversal of Fortune",56714147.0,15445131.0,40058893.333333336,72.0,61.0,65.66666666666667
230,Rupert Wainwright,"Blank Check, Stigmata, The Fog",89446268.0,30577969.0,55408556.333333336,62.0,37.0,50.666666666666664
231,Marc Lawrence,"Noelle, The Rewrite, Two Weeks Notice, Music and Lyrics",199043471.0,4453524.0,116464472.33333333,65.0,61.0,63.0
232,Michael O. Sajbel,The Ultimate Gift,3438735.0,3438735.0,3438735.0,73.0,73.0,73.0
233,Beka Jguburia,247°F,,,,48.0,48.0,48.0
234,Stephen Chow,"Kung Fu Hustle, Shaolin Soccer, Journey to the West",205637183.0,42776760.0,117765462.66666667,77.0,67.0,72.33333333333333
235,Maggie Carey,The To Do List,3909596.0,3909596.0,3909596.0,58.0,58.0,58.0
236,Robert Bierman,Vampire's Kiss,725738.0,725738.0,725738.0,61.0,61.0,61.0
237,Henry Selick,"Coraline, The Nightmare Before Christmas, James and the Giant Peach, Wendell & Wild, Monkeybone",131777210.0,7622365.0,67490535.75,79.0,48.0,67.0
238,Kevin Lewis,Willy's Wonderland,457144.0,457144.0,457144.0,55.0,55.0,55.0
239,Steve Beck,"Ghost Ship, Thir13en Ghosts",68467960.0,68349884.0,68408922.0,56.0,56.0,56.0
240,Claire Scanlon,"Set It Up, The People We Hate at the Wedding",,,,65.0,58.0,61.5
241,Gregory Hoblit,"Primal Fear, Fracture, Fallen, Frequency, Untraceable",102616183.0,25232289.0,68179958.2,77.0,62.0,71.0
242,Todd Field,"In the Bedroom, Little Children, Tár",44763181.0,14821658.0,29539449.666666668,75.0,74.0,74.33333333333333
243,Brian G. Hutton,"Where Eagles Dare, Kelly's Heroes",7100435.0,5200000.0,6150217.5,76.0,76.0,76.0
244,Malik Bendjelloul,Searching for Sugar Man,9380362.0,9380362.0,9380362.0,82.0,82.0,82.0
245,Richard Ayoade,"Submarine, The Double",3875173.0,1662515.0,2768844.0,73.0,65.0,69.0
246,Boaz Yakin,"Uptown Girls, Safe, Max",44617342.0,41564670.0,43379422.333333336,66.0,62.0,64.33333333333333
247,Lili Fini Zanuck,Rush,7241350.0,7241350.0,7241350.0,67.0,67.0,67.0
248,Justin Kurzel,"Assassin's Creed, Macbeth, The Snowtown Murders, True History of the Kelly Gang, Nitram, The Order",240697856.0,418828.0,51851858.0,71.0,56.0,63.8
249,Zach Lipovsky,"Freaks, Final Destination 6",368410.0,368410.0,368410.0,67.0,67.0,67.0
250,Kevin Connor,The People That Time Forgot,,,,54.0,54.0,54.0
251,John Cleese,A Fish Called Wanda,62493712.0,62493712.0,62493712.0,75.0,75.0,75.0
252,Sergei Bodrov,Seventh Son,114178613.0,114178613.0,114178613.0,55.0,55.0,55.0
253,Pau Masó,Complete Strangers,,,,43.0,43.0,43.0
254,Guillaume Canet,"Asterix & Obelix: The Middle Kingdom, Blood Ties, Tell No One",46497678.0,2566435.0,27497637.333333332,75.0,51.0,63.666666666666664
255,Ricky Umberger,Project Eerie,,,,42.0,42.0,42.0
256,Yoko Okumura,Unseen,,,,57.0,57.0,57.0
257,Jennifer Flackett,Nim's Island,100104565.0,100104565.0,100104565.0,60.0,60.0,60.0
